X Y Z velX velY velZ r year
-9.486180550142184753e-01 -9.557899445129180993e-02 -1.489910027307024487e+00 -2.919173631416018162e-03 1.816073125586322584e-02 3.207137303180104164e-04 1.768853710160706694e+00 2.830284000000000106e+03
-9.618924829010354616e-01 -2.514260549650632059e-01 -1.541669225255007269e+00 -2.935556106975621259e-03 1.815837823100795861e-02 3.207084913110894750e-04 1.834447112858582196e+00 2.830384000000000015e+03
-9.706511199855933913e-01 -4.180808749098456345e-01 -1.588565935396123230e+00 -2.951930276268382482e-03 1.815596420579101977e-02 3.207006111451847410e-04 1.908008633574709290e+00 2.830483999999999924e+03
-9.742849123008604506e-01 -5.963711772232149766e-01 -1.629842245447432170e+00 -2.968310490886551939e-03 1.815358577635210746e-02 3.206938790135223849e-04 1.990295308843596178e+00 2.830583999999999833e+03
-9.720845932353877616e-01 -7.871648415842739110e-01 -1.664576528810473244e+00 -2.984699872781767377e-03 1.815126329515691014e-02 3.206891463565791239e-04 2.082160407965421012e+00 2.830684000000000196e+03
-9.631990420573667278e-01 -9.913301623743316915e-01 -1.691649053457753960e+00 -3.001113049990283745e-03 1.814909938579945328e-02 3.206906575473515773e-04 2.184528417191651695e+00 2.830784000000000106e+03
-9.466668469073836745e-01 -1.209711169423163035e+00 -1.709711270528547988e+00 -3.017538511172966967e-03 1.814703327925813736e-02 3.206950200560326454e-04 2.298410725051784009e+00 2.830884000000000015e+03
-9.213729579190311769e-01 -1.443182472576627351e+00 -1.717171583969970161e+00 -3.033955566002324508e-03 1.814492324005299514e-02 3.206966915039566150e-04 2.424949901653802975e+00 2.830985000000000127e+03
-8.860075352178404806e-01 -1.692511145377147308e+00 -1.712129079278455590e+00 -3.050355181358432866e-03 1.814270958290200436e-02 3.206930305103356730e-04 2.565343897764888137e+00 2.831085000000000036e+03
-8.390520393837496149e-01 -1.958352120899381488e+00 -1.692343177191063974e+00 -3.066724571143321712e-03 1.814029317854983642e-02 3.206813263649280991e-04 2.720877943534086629e+00 2.831184999999999945e+03
-7.787356273231825776e-01 -2.240992998660790825e+00 -1.655180441700481175e+00 -3.083093916963463351e-03 1.813786062996973827e-02 3.206696988803272425e-04 2.892767030352930924e+00 2.831284999999999854e+03
-7.031241184616024986e-01 -2.540194167853941476e+00 -1.597600906336594351e+00 -3.099476027174447468e-03 1.813550455715640108e-02 3.206606079139350755e-04 3.082093216028530591e+00 2.831385000000000218e+03
-6.101130345779249842e-01 -2.855071525987971981e+00 -1.516172160976941630e+00 -3.115878611605743358e-03 1.813327511357987545e-02 3.206558124183815769e-04 3.289749132561730516e+00 2.831485000000000127e+03
-4.975266533195021323e-01 -3.183746165111977611e+00 -1.407110649229132537e+00 -3.132298378810918771e-03 1.813116709526760989e-02 3.206529666888098843e-04 3.516210004223661034e+00 2.831585000000000036e+03
-3.631652528995211737e-01 -3.523225335373421974e+00 -1.266359585710344904e+00 -3.148701713336977438e-03 1.812896149582174030e-02 3.206449183281593132e-04 3.761472100793944673e+00 2.831684999999999945e+03
-2.049632046889567627e-01 -3.868814470023506313e+00 -1.089796650698696912e+00 -3.165095439239595364e-03 1.812669288590080738e-02 3.206339269831175089e-04 4.024598372336515517e+00 2.831784999999999854e+03
