X Y Z year
4.466137899999999661e+00 2.115752500000000147e+00 -1.083012000000000002e-01 2.675812800000000152e+03
4.462792600000000220e+00 2.122944799999999965e+00 -1.082600999999999980e-01 2.675815500000000156e+03
4.459436400000000411e+00 2.130131899999999856e+00 -1.082187000000000010e-01 2.675818200000000161e+03
4.456069199999999952e+00 2.137313699999999983e+00 -1.081770999999999983e-01 2.675820999999999913e+03
4.452691100000000013e+00 2.144490300000000182e+00 -1.081352000000000008e-01 2.675823699999999917e+03
4.449302099999999704e+00 2.151661700000000010e+00 -1.080930999999999975e-01 2.675826500000000124e+03
4.445902199999999915e+00 2.158827699999999794e+00 -1.080506999999999995e-01 2.675829200000000128e+03
4.442491399999999757e+00 2.165988500000000094e+00 -1.080080000000000068e-01 2.675831900000000132e+03
4.439069700000000118e+00 2.173144000000000187e+00 -1.079650999999999944e-01 2.675834699999999884e+03
4.435637100000000110e+00 2.180294099999999791e+00 -1.079219000000000012e-01 2.675837399999999889e+03
4.432193599999999734e+00 2.187438900000000075e+00 -1.078783999999999993e-01 2.675840200000000095e+03
