X Y Z year
2.365558800000000073e+00 -3.892698900000000073e+00 3.218789199999999795e+00 2.683212799999999788e+03
2.366457899999999892e+00 -3.888197100000000184e+00 3.221625400000000194e+00 2.683215499999999793e+03
2.367352900000000204e+00 -3.883688799999999830e+00 3.224456200000000106e+00 2.683218199999999797e+03
2.368243899999999957e+00 -3.879173799999999783e+00 3.227281399999999856e+00 2.683221000000000004e+03
2.369130800000000203e+00 -3.874652100000000043e+00 3.230101100000000169e+00 2.683223700000000008e+03
2.370013600000000054e+00 -3.870123800000000003e+00 3.232915300000000158e+00 2.683226500000000215e+03
2.370892399999999789e+00 -3.865588900000000105e+00 3.235723899999999986e+00 2.683229200000000219e+03
2.371767199999999853e+00 -3.861047399999999907e+00 3.238526999999999934e+00 2.683231900000000223e+03
2.372637899999999966e+00 -3.856499299999999852e+00 3.241324600000000000e+00 2.683234699999999975e+03
2.373504500000000128e+00 -3.851944500000000104e+00 3.244116599999999906e+00 2.683237399999999980e+03
2.374366999999999894e+00 -3.847383100000000056e+00 3.246903000000000095e+00 2.683240200000000186e+03
2.375225499999999990e+00 -3.842815199999999987e+00 3.249683899999999959e+00 2.683242900000000191e+03
2.376079900000000134e+00 -3.838240599999999780e+00 3.252459099999999825e+00 2.683245600000000195e+03
2.376930199999999882e+00 -3.833659400000000161e+00 3.255228799999999811e+00 2.683248399999999947e+03
2.377776400000000123e+00 -3.829071599999999798e+00 3.257992900000000080e+00 2.683251099999999951e+03
2.378618499999999969e+00 -3.824477200000000021e+00 3.260751299999999908e+00 2.683253799999999956e+03
2.379456499999999863e+00 -3.819876299999999780e+00 3.263504199999999855e+00 2.683256600000000162e+03
2.380290399999999806e+00 -3.815268699999999846e+00 3.266251399999999805e+00 2.683259300000000167e+03
2.381120199999999798e+00 -3.810654599999999892e+00 3.268993000000000038e+00 2.683262099999999919e+03
2.381945899999999838e+00 -3.806033900000000081e+00 3.271728899999999829e+00 2.683264799999999923e+03
2.382767499999999927e+00 -3.801406599999999969e+00 3.274459199999999903e+00 2.683267499999999927e+03
2.383585000000000065e+00 -3.796772700000000000e+00 3.277183799999999980e+00 2.683270300000000134e+03
2.384398299999999971e+00 -3.792132300000000011e+00 3.279902799999999896e+00 2.683273000000000138e+03
2.385207600000000205e+00 -3.787485300000000166e+00 3.282616099999999815e+00 2.683275799999999890e+03
2.386012599999999928e+00 -3.782831799999999856e+00 3.285323700000000180e+00 2.683278499999999894e+03
2.386813599999999980e+00 -3.778171700000000133e+00 3.288025600000000104e+00 2.683281199999999899e+03
2.387610399999999800e+00 -3.773505000000000109e+00 3.290721800000000030e+00 2.683284000000000106e+03
2.388403100000000112e+00 -3.768831800000000065e+00 3.293412299999999959e+00 2.683286700000000110e+03
2.389191600000000193e+00 -3.764152100000000001e+00 3.296097099999999891e+00 2.683289499999999862e+03
2.389975999999999878e+00 -3.759465800000000080e+00 3.298776099999999989e+00 2.683292199999999866e+03
2.390756300000000056e+00 -3.754773000000000138e+00 3.301449400000000090e+00 2.683294899999999870e+03
2.391532300000000166e+00 -3.750073599999999896e+00 3.304117000000000193e+00 2.683297700000000077e+03
2.392304199999999881e+00 -3.745367700000000077e+00 3.306778800000000018e+00 2.683300400000000081e+03
2.393072000000000088e+00 -3.740655299999999794e+00 3.309434800000000010e+00 2.683303199999999833e+03
2.393835499999999783e+00 -3.735936399999999935e+00 3.312085100000000004e+00 2.683305899999999838e+03
2.394594899999999971e+00 -3.731210900000000219e+00 3.314729600000000165e+00 2.683308599999999842e+03
2.395350099999999927e+00 -3.726478999999999875e+00 3.317368300000000048e+00 2.683311400000000049e+03
2.396101199999999931e+00 -3.721740500000000118e+00 3.320001200000000097e+00 2.683314100000000053e+03
2.396847999999999868e+00 -3.716995499999999897e+00 3.322628400000000148e+00 2.683316899999999805e+03
2.397590600000000016e+00 -3.712244000000000099e+00 3.325249599999999806e+00 2.683319599999999809e+03
2.398329100000000214e+00 -3.707485999999999837e+00 3.327865099999999909e+00 2.683322299999999814e+03
