X Y Z velX velY velZ R year
2.357422145659645807e+00 -1.643809431388869813e+00 3.810422511285516123e+00 -1.096455259882992382e-03 6.766985717992106408e-03 -1.543150503822221867e-04 4.772721271358819628e+00 2.684293000000000120e+03
2.356322478861885727e+00 -1.637040207355568100e+00 3.810263004029639244e+00 -1.102879862611393525e-03 6.771460678179732837e-03 -1.647026494097365672e-04 4.769723306939885887e+00 2.684295999999999822e+03
2.355216382876753389e+00 -1.630266513381369853e+00 3.810093099601937983e+00 -1.109313638337944795e-03 6.775925591768070660e-03 -1.751094027233422029e-04 4.766720313009565224e+00 2.684297999999999774e+03
2.354103848520123332e+00 -1.623488359536990666e+00 3.809912778822011958e+00 -1.115756609327955146e-03 6.780380410461450333e-03 -1.855353625836450929e-04 4.763712288268533435e+00 2.684300999999999931e+03
2.352984866585573265e+00 -1.616705755941632461e+00 3.809722022457106227e+00 -1.122208797903786201e-03 6.784825085602277407e-03 -1.959805814443441735e-04 4.760699231422858446e+00 2.684304000000000087e+03
2.351859427844329442e+00 -1.609918712763310555e+00 3.809520811221908332e+00 -1.128670226442207670e-03 6.789259568160141943e-03 -2.064451119539725474e-04 4.757681141184070484e+00 2.684306000000000040e+03
2.350727523045222700e+00 -1.603127240219300198e+00 3.809309125778369332e+00 -1.135140917370464726e-03 6.793683808719887078e-03 -2.169290069577002947e-04 4.754658016269292631e+00 2.684309000000000196e+03
2.349589142914634277e+00 -1.596331348576467635e+00 3.809086946735485757e+00 -1.141620893160938529e-03 6.798097757468746921e-03 -2.274323194995046121e-04 4.751629855401297675e+00 2.684311999999999898e+03
2.348444278156446519e+00 -1.589531048151707093e+00 3.808854254649111759e+00 -1.148110176323823960e-03 6.802501364182439274e-03 -2.379551028244986793e-04 4.748596657308626234e+00 2.684315000000000055e+03
2.347292919452018456e+00 -1.582726349312324476e+00 3.808611030021760158e+00 -1.154608789397583869e-03 6.806894578210307724e-03 -2.484974103815979288e-04 4.745558420725690674e+00 2.684317000000000007e+03
2.346135057460160045e+00 -1.575917262476543845e+00 3.808357253302386169e+00 -1.161116754936346307e-03 6.811277348459710869e-03 -2.590592958264265749e-04 4.742515144392903892e+00 2.684320000000000164e+03
2.344970682817137497e+00 -1.569103798113853809e+00 3.808092904886190677e+00 -1.167634095494054364e-03 6.815649623379857296e-03 -2.696408130247215755e-04 4.739466827056788567e+00 2.684322999999999865e+03
2.343799786136657293e+00 -1.562285966745550647e+00 3.807817965114398628e+00 -1.174160833604058875e-03 6.820011350945606732e-03 -2.802420160560163166e-04 4.736413467470114824e+00 2.684326000000000022e+03
2.342622358009917249e+00 -1.555463778945238795e+00 3.807532414274040100e+00 -1.180696991753941516e-03 6.824362478641756921e-03 -2.908629592176968301e-04 4.733355064392068989e+00 2.684327999999999975e+03
2.341438389005664256e+00 -1.548637245339226753e+00 3.807236232597746906e+00 -1.187242592354489056e-03 6.828702953448896953e-03 -3.015036970296668985e-04 4.730291616588388592e+00 2.684331000000000131e+03
2.340247869670288416e+00 -1.541806376607146589e+00 3.806929400263515006e+00 -1.193797657701891560e-03 6.833032721831975437e-03 -3.121642842390920901e-04 4.727223122831574642e+00 2.684333999999999833e+03
2.339050790527964274e+00 -1.534971183482386925e+00 3.806611897394479360e+00 -1.200362209932753863e-03 6.837351729733430125e-03 -3.228447758256976045e-04 4.724149581901065709e+00 2.684335999999999785e+03
2.337847142080818674e+00 -1.528131676752686019e+00 3.806283704058670558e+00 -1.206936270971117105e-03 6.841659922573037865e-03 -3.335452270070149439e-04 4.721070992583464410e+00 2.684338999999999942e+03
2.336636914809200771e+00 -1.521287867260618931e+00 3.805944800268783901e+00 -1.213519862467798928e-03 6.845957245257287306e-03 -3.442656932436441962e-04 4.717987353672794093e+00 2.684342000000000098e+03
