a e i Om w M year jd number node
3.841245739601411024e+00 4.874921835142715931e-01 6.129752771591096661e+01 2.784657984680124514e+02 2.080235496392367054e+02 -1.711982108612451441e+02 2.675184000000000196e+03 2.698150654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841244713992647775e+00 4.874927346352577184e-01 6.129758779365409538e+01 2.784658404852152103e+02 2.080234311127100284e+02 -1.710670358518566161e+02 2.675186999999999898e+03 2.698151654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841243670274336441e+00 4.874932941092531835e-01 6.129764810626504357e+01 2.784658827523070386e+02 2.080233131928092405e+02 -1.709358623590536013e+02 2.675188999999999851e+03 2.698152654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841242607608495785e+00 4.874938621819293050e-01 6.129770863960320781e+01 2.784659252601289268e+02 2.080231959206394947e+02 -1.708046904658265817e+02 2.675192000000000007e+03 2.698153654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841241525163528792e+00 4.874944390900100011e-01 6.129776937584480834e+01 2.784659679968717114e+02 2.080230793413010986e+02 -1.706735202619326515e+02 2.675195000000000164e+03 2.698154654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841240422143341604e+00 4.874950250501849380e-01 6.129783029279263928e+01 2.784660109475677245e+02 2.080229635037781009e+02 -1.705423518432113497e+02 2.675197999999999865e+03 2.698155654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841239297825022270e+00 4.874956202451197762e-01 6.129789136318051135e+01 2.784660540935747690e+02 2.080228484605671326e+02 -1.704111853103055125e+02 2.675199999999999818e+03 2.698156654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841238151605589124e+00 4.874962248064934611e-01 6.129795255402704157e+01 2.784660974120891979e+02 2.080227342669681434e+02 -1.702800207666430481e+02 2.675202999999999975e+03 2.698157654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841236983057499721e+00 4.874968387953036997e-01 6.129801382611405813e+01 2.784661408757430081e+02 2.080226209799602373e+02 -1.701488583155518199e+02 2.675206000000000131e+03 2.698158654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841235791991420623e+00 4.874974621801254626e-01 6.129807513368522365e+01 2.784661844523536161e+02 2.080225086565996548e+02 -1.700176980564240807e+02 2.675208999999999833e+03 2.698159654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841234578523143650e+00 4.874980948145788973e-01 6.129813642447603428e+01 2.784662281049073727e+02 2.080223973519086655e+02 -1.698865400799305121e+02 2.675210999999999785e+03 2.698160654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841233343139663248e+00 4.874987364159034109e-01 6.129819764019024575e+01 2.784662717918617432e+02 2.080222871162790739e+02 -1.697553844624076760e+02 2.675213999999999942e+03 2.698161654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841232086757512931e+00 4.874993865471554111e-01 6.129825871752366595e+01 2.784663154678423211e+02 2.080221779924877410e+02 -1.696242312597074431e+02 2.675217000000000098e+03 2.698162654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841230810764980852e+00 4.875000446059731818e-01 6.129831958979664819e+01 2.784663590847831642e+02 2.080220700125148312e+02 -1.694930805009787207e+02 2.675219999999999800e+03 2.698163654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841229517039284502e+00 4.875007098229085511e-01 6.129838018919006259e+01 2.784664025935119298e+02 2.080219631944468119e+02 -1.693619321830227875e+02 2.675222000000000207e+03 2.698164654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841228207930802441e+00 4.875013812718166362e-01 6.129844044948858084e+01 2.784664459457164867e+02 2.080218575398200755e+02 -1.692307862659714317e+02 2.675224999999999909e+03 2.698165654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841226886209302194e+00 4.875020578936457016e-01 6.129850030913486592e+01 2.784664890961547599e+02 2.080217530317873127e+02 -1.690996426710351841e+02 2.675228000000000065e+03 2.698166654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841225554971746892e+00 4.875027385332379448e-01 6.129855971430866646e+01 2.784665320049052752e+02 2.080216496344472148e+02 -1.689685012809176214e+02 2.675231000000000222e+03 2.698167654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841224217516978623e+00 4.875034219867233065e-01 6.129861862169263276e+01 2.784665746394128405e+02 2.080215472935608148e+02 -1.688373619431916097e+02 2.675233000000000175e+03 2.698168654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841222877198235075e+00 4.875041070551940914e-01 6.129867700059201496e+01 2.784666169760858452e+02 2.080214459386965302e+02 -1.687062244765227206e+02 2.675235999999999876e+03 2.698169654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841221537268576736e+00 4.875047925990818043e-01 6.129873483414624502e+01 2.784666590012496954e+02 2.080213454866354539e+02 -1.685750886791924188e+02 2.675239000000000033e+03 2.698170654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841220200735845580e+00 4.875054775873809976e-01 6.129879211949583606e+01 2.784667007113479826e+02 2.080212458456791467e+02 -1.684439543390178926e+02 2.675242000000000189e+03 2.698171654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841218870242150363e+00 4.875061611366873215e-01 6.129884886692012458e+01 2.784667421123947406e+02 2.080211469203759407e+02 -1.683128212435768774e+02 2.675244000000000142e+03 2.698172654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841217547978626801e+00 4.875068425367251046e-01 6.129890509810471144e+01 2.784667832187843715e+02 2.080210486161510062e+02 -1.681816891896642687e+02 2.675246999999999844e+03 2.698173654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841216235640388721e+00 4.875075212611920672e-01 6.129896084380044385e+01 2.784668240516433002e+02 2.080209508433875953e+02 -1.680505579911138625e+02 2.675250000000000000e+03 2.698174654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841214934420693616e+00 4.875081969648273339e-01 6.129901614118062270e+01 2.784668646369439671e+02 2.080208535206382123e+02 -1.679194274844477661e+02 2.675251999999999953e+03 2.698175654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841213645038556557e+00 4.875088694691916968e-01 6.129907103119023759e+01 2.784669050035928990e+02 2.080207565768077700e+02 -1.677882975321782908e+02 2.675255000000000109e+03 2.698176654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841212367791156268e+00 4.875095387405230518e-01 6.129912555612445146e+01 2.784669451816690753e+02 2.080206599523056923e+02 -1.676571680239055411e+02 2.675257999999999811e+03 2.698177654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
