X Y Z VelX VelY VelZ M year r
-5.417405133580134979e+00 -6.288768788757351791e-01 9.782154067159794242e-02 7.715452119789937115e-04 -7.144502488825368695e-03 9.895159794686760960e-06 1.700930149380324394e+02 2.702492931512756059e+03 5.454661636063621089e+00
-5.406315458871223001e+00 -7.234383814265038515e-01 9.793699323010514324e-02 9.022698181389638339e-04 -7.128169837847595294e-03 7.530866084645449666e-06 1.711930137945746537e+02 2.702525881512755859e+03 5.455382808492353242e+00
-5.393492426162524112e+00 -8.177918518824557337e-01 9.802112426712328297e-02 1.032689380417715170e-03 -7.109557854911290921e-03 5.164456443942150437e-06 1.722932865514135017e+02 2.702558831512755660e+03 5.456019813461131740e+00
-5.378939930429076810e+00 -9.119040898550142549e-01 9.807389327234136700e-02 1.162764171753155260e-03 -7.088672209406753077e-03 2.796651703877688845e-06 1.733937992378247088e+02 2.702591781512755460e+03 5.456572397833665988e+00
-5.362662556988299301e+00 -1.005741970145658692e+00 9.809527218459437869e-02 1.292454570103807217e-03 -7.065519263303928280e-03 4.281731207128665189e-07 1.744945177765775952e+02 2.702624731512755261e+03 5.457040341894288105e+00
-5.344665579976587644e+00 -1.099272458960724341e+00 9.808524541834431898e-02 1.421721070517974628e-03 -7.040106069214483071e-03 -1.940257844031567911e-06 1.755954079989938919e+02 2.702657681512755062e+03 5.457423459489359807e+00
-5.324954960378781799e+00 -1.192462630091304376e+00 9.804380988214375647e-02 1.550524297167404138e-03 -7.012440368243524208e-03 -4.307919743340364962e-06 1.766964356600793451e+02 2.702690631512754862e+03 5.457721598147258213e+00
-5.303537343611473887e+00 -1.285279681043554501e+00 9.797097498905042723e-02 1.678825015341520697e-03 -6.982530587631566484e-03 -6.674091364463053206e-06 1.777975664537142677e+02 2.702723581512754663e+03 5.457934639176725611e+00
-5.280420056661648154e+00 -1.377690949104982021e+00 9.786676265897127636e-02 1.806584143398678967e-03 -6.950385838187534901e-03 -9.038051948601991069e-06 1.788987660278932879e+02 2.702756531512754464e+03 5.458062497743473962e+00
-5.255611104782710541e+00 -1.469663927332346853e+00 9.773120731292618546e-02 1.933762764670848453e-03 -6.916015911513497677e-03 -1.139908141046316265e-05 1.800000000000000000e+02 2.702789481512754264e+03 5.458105122924999719e+00
-5.229119167750496011e+00 -1.561166280446729893e+00 9.756435585922770826e-02 2.060322139317988851e-03 -6.879431277022068567e-03 -1.375646055760078976e-05 1.811012339721067121e+02 2.702822431512754065e+03 5.458062497743473962e+00
-5.200953595682380914e+00 -1.652165860621564342e+00 9.736626767158726437e-02 2.186223716128555487e-03 -6.840643078747320714e-03 -1.610947130948987355e-05 1.822024335462857039e+02 2.702855381512753866e+03 5.457934639176725611e+00
-5.171124404423152576e+00 -1.742630723149599214e+00 9.713701455916450012e-02 2.311429144262640723e-03 -6.799663131950193021e-03 -1.845739691626172209e-05 1.833035643399206265e+02 2.702888331512753666e+03 5.457721598147258213e+00
